Investment type,Transaction date,Investment amount,Closing price,Holding period,Transaction fees,Market volatility,Inflation Rate,GDP Rate
Bond,31-05-2014,790002,11694.43,9,11619.84,0.28,8.33,4.6
Bond,30-11-2019,391094,12380.75,7,21364.27,0.48,5.54,4.5
Bond,30-06-2015,1460404,7238.14,14,26747.99,0.24,5.4,7.3
Bond,31-12-2013,853965,6621.14,3,18271.45,0.21,10.6,4.8
Bond,31-07-2021,9923,18409.36,13,18273.67,0.21,5.59,10
Bond,30-11-2017,9923,10676.22,15,33012.33,0.1,4.88,6.3
Bond,29-02-2020,9923,7358.05,14,34220.04,0.33,6.58,4.7
Bond,30-04-2016,1521702,5203.29,19,32736.84,0.23,5.47,7.7
Bond,31-08-2016,1077833,9596.93,13,18347.73,0.1,5.05,7.1
Bond,30-11-2020,875162,10133.35,20,24842.58,0.38,6.93,-7.5
Bond,31-07-2021,1148527,5740.9,16,22082.44,0.23,5.59,10
Bond,30-06-2020,193611,9087.42,14,30722.96,0.29,6.23,1
Bond,30-06-2020,943302,11650.78,17,37525.47,0.52,6.23,1
Bond,31-01-2012,1298152,6538.7,2,36572.18,0.47,7.65,6.3
Bond,31-12-2020,1470054,17856.91,7,23316.49,0.59,4.59,-3
Bond,31-01-2012,272887,6674.32,5,27713.5,0.1,7.65,6.3
Bond,31-07-2015,263734,7905.75,1,24949.07,0.23,3.69,7.1
Bond,30-06-2019,284034,9450.13,16,39753.71,0.5,3.18,5.3
Bond,31-10-2021,428831,7775,1,12821.23,0.21,4.48,13
Bond,28-02-2015,213746,6916.9,18,496.15,0.2,5.37,7.5
Bond,31-10-2012,112306,10640.65,17,22942.04,0.54,9.75,5.4
Bond,31-03-2017,560649,8189.78,10,27050.74,0.69,3.89,6.7
Bond,31-01-2013,170313,7136.65,16,29315.74,0.34,8.6,4.9
Bond,30-04-2022,561032,8901.39,12,30661.02,0.41,7.79,4.9
Bond,31-05-2012,455993,10784.56,17,13313.11,0.56,10.36,5.3
Bond,31-05-2022,1088076,5268.4,6,33357.89,0.47,7.04,4.1
Bond,31-01-2017,275679,8904.06,6,30866.08,0.57,3.17,7.1
Bond,31-10-2021,163479,4924.25,8,36219.1,0.2,4.48,13
Bond,30-09-2016,276298,7790.18,7,12101.75,0.31,4.39,7.2
Bond,31-10-2018,36276,7801.26,16,26917.89,0.21,3.38,7.3
Bond,30-04-2021,466552,9105.38,18,20778.15,0.63,4.23,0.9
Bond,31-03-2016,462384,18587.9,17,23600.56,0.55,4.83,7.5
Bond,30-09-2015,1303594,9625.37,7,24958.18,0.42,4.41,7.2
Bond,31-05-2012,300992,11813.73,20,26010.06,0.6,10.36,5.3
Bond,30-06-2013,1289419,8985.47,16,7707.37,0.45,10.5,4.6
Bond,30-11-2021,40075,9098.24,14,4370.99,0.55,4.91,8.4
Bond,31-10-2014,306586,9401.98,8,29749.54,0.58,4.62,5.3
Bond,30-09-2019,538878,8193.16,15,19356.1,0.41,3.99,4.7
Bond,30-11-2013,1169384,8087.19,7,32638.52,0.31,10.3,4.8
Bond,31-08-2013,217258,8670.91,16,31999.7,0.54,10.6,4.4
Bond,31-08-2017,251004,7139.59,19,18157.38,0.63,2.28,5.7
Bond,31-08-2017,641489,11476.13,17,30923.74,0.37,2.28,5.7
Bond,28-02-2019,283775,10709.74,15,8996.82,0.49,2.57,6.6
Bond,29-02-2020,1140422,7467.99,16,25208.76,0.16,6.58,4.7
Bond,30-06-2012,1346161,18758.35,7,19445.49,0.54,9.93,5.4
Bond,31-03-2016,814643,7796.58,17,24629.56,0.53,4.83,7.5
Bond,30-11-2019,663786,7364.58,17,30983.88,0.55,5.54,4.5
Bond,31-07-2012,1307335,5452.17,16,39963.46,0.42,9.86,5.3
Bond,31-01-2019,303689,11680.74,15,24269.96,0.56,1.97,6.7
Bond,31-03-2019,74091,7994.19,11,21005.43,0.44,2.86,6.3
Bond,31-03-2013,665721,6448.94,11,3066.68,0.6,8.3,4.6
Bond,31-03-2015,1575068,10488.59,18,34703.78,0.2,5.25,7.4
Bond,31-10-2021,653432,8532.94,1,33232.47,0.59,4.48,13
Bond,31-12-2018,1305744,10495.08,8,29184.79,0.12,2.11,6.9
Bond,31-03-2018,468051,7759.58,15,33183.29,0.5,4.28,7.3
