Investment type,Transaction date,Investment amount,Closing price,Holding period,Transaction fees,Market volatility,Inflation Rate,GDP Rate
Debentures,31-01-2012,998899,101.516713,10,2979,0.16,7.65,6.3
Debentures,31-01-2012,988820,102.522902,17,3024,0.32,7.65,6.3
Debentures,31-01-2012,994087,106.437116,10,3060,0.34,7.65,6.3
Debentures,31-01-2012,977760,163.591866,4,835,0.31,7.65,6.3
Debentures,31-01-2012,978679,103.950997,8,996,0.15,7.65,6.3
Debentures,31-01-2012,989060,104.268433,4,3007,0.47,7.65,6.3
Debentures,31-01-2012,962962,102.411773,17,2990,0.33,7.65,6.3
Debentures,31-01-2012,958703,105.651718,15,2941,0.35,7.65,6.3
Debentures,31-01-2012,970141,102.1313,16,3001,0.32,7.65,6.3
Debentures,31-01-2012,989210,103.770163,7,3020,0.46,7.65,6.3
Debentures,31-01-2012,958931,101.4812,20,3023,0.42,7.65,6.3
Debentures,31-01-2012,981454,101.06316,17,2994,0.28,7.65,6.3
Debentures,31-01-2012,992301,107.32219,4,2967,0.39,7.65,6.3
Debentures,31-01-2012,994864,105.565659,15,3172,0.52,7.65,6.3
Debentures,31-01-2012,1008969,104.494448,8,2978,0.34,7.65,6.3
Debentures,31-01-2012,966495,105.052963,14,3006,0.41,7.65,6.3
Debentures,31-01-2012,964269,105.612009,6,3039,0.5,7.65,6.3
Debentures,31-01-2012,980312,101.566821,16,3003,0.53,7.65,6.3
Debentures,31-01-2012,986560,179.9737,16,2984,0.16,7.65,6.3
Debentures,31-01-2012,976598,102.26866,9,3010,0.51,7.65,6.3
Debentures,31-01-2012,980012,104.68868,15,3020,0.48,7.65,6.3
Debentures,31-01-2012,986197,104.245672,7,2955,0.4,7.65,6.3
Debentures,31-01-2012,1002193,179.9737,14,2962,0.37,7.65,6.3
Debentures,31-01-2012,985806,105.658966,19,3021,0.38,7.65,6.3
Debentures,31-01-2012,999467,100.6298,16,3032,0.55,7.65,6.3
Debentures,31-01-2012,1013927,103.925826,20,3033,0.33,7.65,6.3
Debentures,31-01-2012,959943,100.589751,7,2952,0.58,7.65,6.3
Debentures,31-01-2012,965368,107.510657,18,3034,0.29,7.65,6.3
Debentures,31-01-2012,977988,105.837825,18,3029,0.08,7.65,6.3
Debentures,31-01-2012,967503,104.98889,19,3006,0.16,7.65,6.3
Debentures,31-01-2012,994514,104.523339,5,2977,0.6,7.65,6.3
Debentures,31-01-2012,964221,102.895549,19,3009,0.39,7.65,6.3
Debentures,31-01-2012,996784,103.478026,15,2992,0.17,7.65,6.3
Debentures,31-01-2012,978769,105.752374,6,3026,0.43,7.65,6.3
Debentures,31-01-2012,999604,104.075082,20,1624,0.39,7.65,6.3
Debentures,31-01-2012,988736,102.578286,19,2991,0.35,7.65,6.3
Debentures,31-01-2012,970361,105.684174,20,3016,0.19,7.65,6.3
Debentures,31-01-2012,970957,101.37366,11,3036,0.32,7.65,6.3
Debentures,31-01-2012,988100,103.789725,20,3083,0.48,7.65,6.3
Debentures,31-01-2012,969087,101.051218,20,2998,0.23,7.65,6.3
Debentures,31-01-2012,200000,107.289767,8,3009,0.32,7.65,6.3
Debentures,31-01-2012,1013684,101.052943,19,3033,0.45,7.65,6.3
Debentures,31-01-2012,982222,102.683363,19,3005,0.43,7.65,6.3
Debentures,31-01-2012,1008827,105.468984,20,2979,0.25,7.65,6.3
Debentures,31-01-2012,971373,105.367859,10,2984,0.36,7.65,6.3
Debentures,31-01-2012,1023465,106.023332,14,1691,0.47,7.65,6.3
Debentures,31-01-2012,991550,106.244073,8,3021,0.37,7.65,6.3
Debentures,31-01-2012,537780,104.519813,19,3064,0.53,7.65,6.3
Debentures,31-01-2012,967417,105.551538,20,3012,0.26,7.65,6.3
Debentures,31-01-2012,983092,106.04728,20,2186,0.26,7.65,6.3
Debentures,31-01-2012,970646,105.857137,20,3020,0.18,7.65,6.3
Debentures,31-01-2012,990345,101.752116,13,2997,0.16,7.65,6.3
Debentures,31-01-2012,987134,103.963742,6,2993,0.19,7.65,6.3
Debentures,31-01-2012,986618,104.675834,16,2982,0.18,7.65,6.3
Debentures,31-01-2012,966868,101.234123,3,2995,0.53,7.65,6.3
