Investment type,Transaction date,Investment amount,Closing price,Holding period,Transaction fees,Market volatility,Inflation Rate,GDP Rate
Gold,30-06-2012,1427665,28588.00,7,65082.72,0.76,4.35,15
Gold,31-01-2020,1688258,28872.00,5,67460.57,0.53,9.4,4.8
Gold,28-02-2013,674251,28588.00,7,23051.7,0.53,6.93,-7.5
Gold,31-10-2012,600559,25714.00,1,79603.6,0.63,4.58,7.5
Gold,30-04-2020,767185,47994.00,8,30094.6,0.21,6.23,1
Gold,29-02-2020,1596282,26805.00,4,72970.8,0.69,5.76,7.9
Gold,28-02-2015,1460432,38999.00,6,16089.75,0.62,7,13.5
Gold,31-07-2015,1423412,31115.00,2,29583.83,0.62,7.22,3.7
Gold,31-08-2013,709460,33947.00,6,51277.11,0.75,1.97,6.7
Gold,31-05-2022,346666,26709.00,1,7438.23,0.51,10.26,5.7
Gold,30-09-2013,1257245,27911.00,2,33945.46,0.7,7.41,9
Gold,31-10-2022,568416,44418.00,2,51182.69,0.53,3.89,6.7
Gold,29-02-2012,514417,30057.00,1,31914.48,0.28,3.69,7.1
Gold,31-01-2019,856312,46858.00,4,70051.74,0.55,4.48,13
Gold,30-06-2015,1882177,47898.00,4,42001.32,0.61,4.17,8
Gold,31-05-2013,1124314,30423.00,8,52099.67,0.57,5.69,7.2
Gold,30-06-2020,1756422,50641.00,3,55309.88,0.44,6.93,-7.5
Gold,30-06-2012,1751902,51365.00,7,73946.49,0.57,3.18,5.3
Gold,30-11-2012,57133,38999.00,4,68962.14,0.44,2.28,6
Gold,28-02-2019,734191,50719.00,6,69621.86,0.79,2.36,5.7
Gold,30-06-2012,1096738,41012.00,8,37668.79,0.23,8.6,4.7
Gold,31-08-2020,223437,32131.00,2,22327.27,0.48,10.36,5.3
Gold,31-12-2015,65064,29469.00,2,54515.89,0.34,5.62,7.3
Gold,31-03-2014,1224130,28992.00,3,36872.58,0.62,5.69,7.2
Gold,30-06-2013,625869,30814.00,8,79603.6,0.23,3.58,6.1
Gold,30-04-2022,1497270,29382.00,1,52170.81,0.74,10.6,4.8
Gold,31-01-2017,1990090,29250.00,5,48239.65,0.67,5.69,7.2
Gold,30-11-2019,708132,25924.00,3,40643.11,0.66,7.01,7
Gold,30-09-2022,696751,47439.00,1,65749.55,0.53,5.4,7.3
Gold,30-11-2016,707879,30634.00,2,47491.12,0.2,9.47,5.9
Gold,30-06-2019,939568,25114.00,5,33431.94,0.11,4.83,7.5
Gold,30-11-2015,1379719,30186.00,5,24269.53,0.59,5.69,7.2
Gold,30-09-2012,531942,38842.00,7,21471.78,0.65,6.93,-7.5
Gold,30-09-2017,766700,30882.00,9,23565.48,0.52,5.62,7.3
Gold,30-04-2017,568059,30186.00,6,56334.72,0.54,5.47,7.7
