Investment type,Transaction date,Investment amount,Closing price,Holding period,Transaction fees,Market volatility,Inflation Rate,GDP Rate
Mutual Fund,30-11-2018,1506722,10.68,18,19431.96,0.38,2.33,7.1
Mutual Fund,28-02-2021,1927829,9.59,7,13574.76,0.11,5.03,0.4
Mutual Fund,31-07-2014,712401,9.75,2,10059.06,0.17,7.39,5
Mutual Fund,31-01-2017,239906,10.46,19,22335.38,0.42,3.17,7.1
Mutual Fund,30-04-2014,1582506,10.29,2,11319.67,0.42,8.48,4.6
Mutual Fund,31-01-2014,1161442,10.25,15,11743.02,0.09,8.6,4.7
Mutual Fund,31-08-2021,597054,10.44,5,4148.43,0.13,5.3,20.1
Mutual Fund,31-07-2013,124909,10.53,8,16495.54,0.44,10.6,4.5
Mutual Fund,31-05-2016,1335407,10.59,10,13837.81,0.14,5.76,7.9
Mutual Fund,31-12-2013,1393332,9.94,3,14281.1,0.14,10.6,4.8
Mutual Fund,30-04-2020,162521,10.73,18,10366.14,0.45,7.22,3.7
Mutual Fund,31-01-2012,79914,10.54,15,17229.05,0.12,7.65,6.3
Mutual Fund,30-06-2017,1172755,10.27,2,9953.43,0.45,1.46,5.9
Mutual Fund,28-02-2022,725928,10.48,9,10597.55,0.32,6.07,5.4
Mutual Fund,31-03-2013,1975639,10.5,3,17310.31,0.01,8.3,4.6
Mutual Fund,31-07-2012,652621,10.16,2,25260.85,0.12,9.86,5.3
Mutual Fund,31-01-2021,1895836,11.27,6,13496.74,0.01,4.06,-1
Mutual Fund,30-04-2016,505787,10.09,9,30917.86,0.37,5.47,7.7
Mutual Fund,31-07-2014,450985,11.3,16,8744.56,0.35,7.39,5
Mutual Fund,31-10-2019,665858,10.72,1,20119.9,0.5,4.62,4.5
Mutual Fund,31-03-2020,1145860,9.77,14,31368.86,0.37,5.84,4.1
Mutual Fund,30-04-2016,440506,9.72,3,19353.44,0.35,5.47,7.7
Mutual Fund,31-12-2014,523994,11.14,14,12579.2,0.06,4.28,6
Mutual Fund,30-09-2014,1729344,9.87,7,8217.57,0.2,5.63,5.5
Mutual Fund,30-11-2021,503652,10.52,14,17543.08,0.06,4.91,8.4
Mutual Fund,30-09-2012,884703,10.4,16,8982.01,0.17,9.73,5.4
