Investment type,Transaction date,Investment amount,Closing price,Holding period,Transaction fees,Market volatility,Inflation Rate,GDP Rate
Stocks,30-09-2021,9382,73,9,3460.393,0.37,4.35,15
Stocks,31-05-2013,1996907,73,6,3072.888,0.06,9.4,4.8
Stocks,30-11-2020,143002,12914,16,3993.814,0.47,6.93,-7.5
Stocks,30-04-2018,1034251,1157,11,3064.934,0.14,4.58,7.5
Stocks,30-06-2020,1108802,73,1,1555.917,0.05,6.23,1
Stocks,31-05-2016,1956283,8712,20,2991.269,0.24,5.76,7.9
Stocks,31-08-2022,1784210,73,5,3263.18,0.23,7,13.5
Stocks,30-04-2020,387904,73,15,3945.693,0.44,7.22,3.7
Stocks,31-01-2019,833235,59822,3,3054.165,0.35,1.97,6.7
Stocks,30-04-2012,1887468,58708,9,2551.702,0.02,10.26,5.7
Stocks,30-09-2022,374954,10784,15,2706.987,0.16,7.41,9
Stocks,31-03-2017,1200408,73,13,3680.536,0.42,3.89,6.7
Stocks,31-07-2015,1291654,73,12,2441.048,0.19,3.69,7.1
Stocks,31-10-2021,1606758,680,13,3984.612,0.22,4.48,13
Stocks,31-07-2018,1533313,770,6,3984.619,0.66,4.17,8
Stocks,31-01-2016,1738605,26449,17,3319.799,0.14,5.69,7.2
Stocks,30-11-2020,969912,73,15,2688.728,0.12,6.93,-7.5
Stocks,30-06-2019,1791083,2174,15,2791.667,0.08,3.18,5.3
Stocks,30-09-2017,1807963,73,4,3993.814,0.14,2.28,6
Stocks,31-07-2017,340375,73,11,3993.814,0.52,2.36,5.7
Stocks,31-01-2014,1486814,1318,18,1569.638,0.62,8.6,4.7
Stocks,31-05-2012,1217417,164,11,2595.216,0.69,10.36,5.3
Stocks,31-12-2015,1323444,73,5,3908.898,0.63,5.62,7.3
Stocks,31-01-2016,1601559,48385,11,3218.85,0.25,5.69,7.2
Stocks,31-10-2017,70047,1146,11,1507.706,0.33,3.58,6.1
Stocks,31-12-2013,1508877,1862,13,2820.481,0.7,10.6,4.8
Stocks,31-01-2016,275525,73,14,3765.041,0.39,5.69,7.2
Stocks,30-06-2022,1081936,315,11,3014.269,0.18,7.01,7
Stocks,30-06-2015,1516925,4036,13,1614.345,0.07,5.4,7.3
Stocks,31-03-2012,1225829,2660,9,1172.495,0.46,9.47,5.9
Stocks,31-03-2016,221333,3189,7,3503.025,0.29,4.83,7.5
